item,part_stem,qty_top_level_transport_closed,material_or_proxy,process_or_role,procurement_boundary,notes
1,SideFrame_V11_ReleaseDoubleShear,2,6061-T6,"CNC-machined/formed side frame; rail and stand load path",Fabricate to released production drawing,"Continuous 4 mm rail/load bands; supplier DFM and physical proof remain required"
2,RearKickstand_V11_262mm_Bushed,2,7075-T6,"Machined 262 mm rear support arm",Fabricate to released production drawing,"8 x 26 mm arm with bushed pivot and keyed stop heel; physical fatigue/proof validation pending"
3,StandOuterCheek_V11_4mm_FullPlate,2,6061-T6,"Machined full-area outer stand cheek",Fabricate to released production drawing,"Full 4 mm plate; no broad-area thinning or lightening pocket"
4,RearKickstandBushing_V11_G1SM_1012_08,2,"Production igus iglide G1; SOLIDWORKS NEOPRENE is density proxy only","Press-fit pivot sleeve bearing",COTS candidate; exact supplier part identified but purchasing approval required,"G1SM-1012-08 nominal ID10 OD12 L8; vendor tolerance data governs"
5,RearKickstandPivotAxle_V11_Retained10mm,2,"Production 17-4PH H900 or approved hardened shoulder axle; SOLIDWORKS AISI 304 is mass/appearance proxy","Full-shank retained rear pivot axle",Custom or qualified shoulder hardware; final supplier specification not frozen,"16.8 mm grip; two flush retainers; no thread in shear planes"
6,RearKickstandStopAxle_V11_Retained10mm,2,"Production 17-4PH H900 or approved hardened shoulder axle; SOLIDWORKS AISI 304 is mass/appearance proxy","Full-shank retained rear hard-stop axle",Custom or qualified shoulder hardware; final supplier specification not frozen,"16.8 mm grip; two flush retainers; normal stand load stop"
7,StandCheekSpacer_V11_8p8mm_M5,12,7075-T6,"Machined hard-anodized physical spacer",Fabricate to released production drawing,"Six spacers per side; 12 mm OD x 8.8 mm length with M5 through bore"
8,StandCheekFastenerPack_V11_M5,1,"A4-80 stainless fasteners; SOLIDWORKS AISI 304 representation","Outer-cheek through-fastener pack",Commodity fasteners; exact vendor and locking detail not frozen,"One top-level pack contains 12 M5 full-shank fasteners; do not multiply pack filename count by top-level quantity"
9,RearKickstandLockScrewPack_V11_M6_FlushCaptive,1,"Stainless captive shoulder screws; SOLIDWORKS AISI 304 representation","Rear-leg folded/deployed position-lock pack",Specialty captive hardware; supplier DFM required,"One top-level pack contains left and right M6 locks; position retention only, separate stop axles carry normal load"
10,RearKickstandHeel_V11_17_4PH_Keyed,2,"Production 17-4PH H900; SOLIDWORKS AISI 304 is mass proxy","Ground keyed rear stop heel",Custom precision part; supplier DFM and heat-treatment callout required,"Mechanically captured in leg pocket by transverse pin"
11,RearKickstandHeelPin_V11_M4,2,"Stainless; SOLIDWORKS AISI 304 representation","Retained M4 heel cross pin",Commodity/custom retention detail not frozen,"Peened or prevailing-thread flush retention to be selected during supplier DFM"
12,RearKickstandFoot_V11_OvermouldCaptured,2,"Production 70A EPDM; SOLIDWORKS NEOPRENE is mass proxy","Overmoulded captured rear foot",Custom elastomer overmould; compound and vendor not frozen,"Positive undercut capture; not adhesive-only"
13,RymoviaRail_104HP_V11_ClosedTubeDualFix,6,6061-T6,"Constant-section 542 x 10 x 22 mm extrusion plus post-machining",Custom extrusion/fabrication; die and production drawing not released,"Each rail has 104 diameter-3.2 module clearances at 5.08 mm pitch and dual M3/M4 end fixing"
14,RymoviaRail_104HP_V11_AISI304_ThreadStrip,6,AISI 304,"CNC-drilled and form-tapped replaceable 104HP M3 strip",Custom fabrication; tap process and straightness control require supplier DFM,"6 x 2 x 528.32 mm; 104 M3-0.5 positions at 5.08 mm pitch"
15,RymoviaRailEndInsertPack_V11_12x7075_M4,1,7075-T6,"Keyed replaceable M4 rail-end insert pack",Custom fabrication; handling retention and corrosion-control process not frozen,"One top-level pack contains 12 inserts, one at each end of six rails; pack quantity is 1"
16,RymoviaRailFastenerPack_V11_12xM3_12xM4,1,"A4-80 stainless fasteners; SOLIDWORKS AISI 304 representation","Dual-axis rail-fastener pack",Commodity fasteners; exact head style vendor torque and threadlocker require qualification,"One top-level pack contains 12 M3 x 10 locator screws plus 12 M4 x 20 structural screws; pack quantity is 1"
17,UpperEdge_V11_P9_Handle_ShellJoints,1,5052-H32,"Laser-cut/brake-formed upper structural edge",Fabricate to released production drawing after sheet-metal DFM,"Carries three removable interface cassettes, P9 handle mounting and shell joints"
18,LowerEdge_V11_Vented_AntiTipMounts,1,5052-H32,"Laser-cut/brake-formed lower edge with hidden vents and anti-tip mounts",Fabricate to released production drawing after sheet-metal DFM,"Retains continuous top web around two front-link sweep windows"
19,CarryHandle_V11_SouthcoP9_128,1,"Production Southco P9-128-40-M4N-15-3 or approved equivalent; SOLIDWORKS 6061-T6 is simplified mass/envelope proxy","Top folding carry handle",COTS candidate; exact supplier STEP and selected part must be frozen before release,"Simplified folded envelope only; supplier catalogue limits are not case proof-test evidence"
20,CarryHandleSpreader_V11_P9_128,1,6061-T6,"Machined 160 x 32 x 4 mm handle load spreader",Fabricate to released production drawing,"Spreads two M4 handle loads into upper edge"
21,CarryHandleFastenerPack_V11_2xM4,1,"A4-80 stainless fasteners; SOLIDWORKS AISI 304 representation","Handle mounting fastener pack",Commodity fasteners; length and torque must match final P9 stack,"One top-level pack contains 2 M4 screws; pack quantity is 1"
22,UpperCassetteFastenerPack_V11_12xM3,1,"A4-70 stainless fasteners; SOLIDWORKS AISI 304 representation","Three removable top-cassette fastener pack",Commodity fasteners; exact vendor not frozen,"One top-level pack contains 12 M3 screws; adapter, MIDI/USB and audio plates remain independently removable"
23,ShellCornerFastenerPack_V11_8xM4,1,"A4-80 stainless fasteners; SOLIDWORKS AISI 304 representation","Upper/lower edge to side-frame corner fastener pack",Commodity fasteners; exact vendor and locking process not frozen,"One top-level pack contains 8 M4 screws; two independent screws at each of four corners"
24,DeepTravelLid_V11_WeldedContinuous_SouthcoV7,1,5052-H32,"Five 1.2 mm laser-cut/brake-formed panels welded into one continuous travel lid",Fabricate after sheet-metal and weld DFM,"Includes formed anti-drum beads and two protective front-link doghouse pockets; artwork included; physical closure/drop validation pending"
25,LidLatchCasePack_V11_SouthcoV7,1,"Production keeper hardware compatible with Southco V7; SOLIDWORKS AISI 304 representation","Case-side positive keeper assembly pack",COTS/custom interface; exact keeper supplier geometry not frozen,"One top-level pack contains 4 keeper assemblies; catalogue working load is not case proof evidence"
26,LidLatchCaseFastenerPack_V11_8xM3,1,"A4-70 stainless fasteners; SOLIDWORKS AISI 304 representation","Case-side keeper fastener pack",Commodity fasteners; exact vendor and locking detail not frozen,"One top-level pack contains 8 M3 full-stack fasteners; pack quantity is 1"
27,LidLatchDoublerPack_V11_4x5052,1,5052-H32,"Laser-cut separate lid latch doubler pack",Fabricate to released production drawing after sheet-metal DFM,"One top-level pack contains 4 independent 35 x 76 x 2 mm doublers; structural retention is by through-fasteners"
28,LidLatchBodyPack_V11_SouthcoV7_31x72,1,"Production Southco V7-10-105-50 black powder-coated zinc-alloy or approved equivalent; SOLIDWORKS AISI 304 is simplified mass/envelope proxy","Four closed-state draw-latch bodies",COTS candidate; exact supplier STEP and opening sweep not frozen,"One top-level pack contains 4 bodies; 31 x 72 mm simplified closed envelope"
29,LidLatchBailPack_V11_ClosedState,1,"Production latch bails per final Southco/equivalent hardware; SOLIDWORKS AISI 304 representation","Closed-state latch bail envelope pack",Included with final COTS latch selection; exact vendor STEP not frozen,"One top-level pack contains 4 bails; modeled only in closed contact state"
